Samplenumber,Setname,Sampletype,Replicate,Species,Standard Length,Body Mass,Ad-Clipped,Site,Latitude,Longitude,Tow/Load,Collection Date,Samplewt,Calcbasis,Lipidiatro Sale Format,Lipidiatro Tg Format,Lipidiatro Ffa Format,Lipidiatro Chol Format,Lipidiatro Pl Format,Cb103 Recovery Format,Hcb Conc Format,Ahch Conc Format,Bhch Conc Format,Lindane Conc Format,Achlor Conc Format,Cnona Conc Format,Bchlor Conc Format,Hept Conc Format,Hpe Conc Format,Nona3 Conc Format,Oxychlor Conc Format,Tnona Conc Format,Aldrin Conc Format,Diel Conc Format,Mirex Conc Format,Eslf1 Conc Format,Cb17 Conc Format,Cb18 Conc Format,Cb28 Conc Format,Cb31 Conc Format,Cb33 Conc Format,Cb44 Conc Format,Cb49 Conc Format,Cb52 Conc Format,Cb66 Conc Format,Cb70 Conc Format,Cb74 Conc Format,Cb82 Conc Format,Cb87 Conc Format,Cb95 Conc Format,Cb99 Conc Format,Cb101 Conc Format,Cb105 Conc Format,Cb110 Conc Format,Cb118 Conc Format,Cb128 Conc Format,Cb138 Conc Format,Cb149 Conc Format,Cb151 Conc Format,Cb153 Conc Format,Cb156 Conc Format,Cb158 Conc Format,Cb170 Conc Format,Cb171 Conc Format,Cb177 Conc Format,Cb180 Conc Format,Cb183 Conc Format,Cb187 Conc Format,Cb191 Conc Format,Cb194 Conc Format,Cb195 Conc Format,Cb199 Conc Format,Cb205 Conc Format,Cb206 Conc Format,Cb208 Conc Format,Cb209 Conc Format,Opddd Conc Format,Opdde Conc Format,Opddt Conc Format,Ppddd Conc Format,Ppdde Conc Format,Ppddt Conc Format,Sum Chlds Conc Format,Sum Ddts Conc Format,Sum Hchs Conc Format,Sum40cbs Conc Format,Bde28 Conc Format,Bde47 Conc Format,Bde49 Conc Format,Bde66 Conc Format,Bde85 Conc Format,Bde99 Conc Format,Bde100 Conc Format,Br5de04 Conc Format,Br5de05 Conc Format,Bde153 Conc Format,Bde154 Conc Format,Br6de01 Conc Format,Bde155 Conc Format,Bde183 Conc Format,Br7de01 Conc Format,Sumbde Conc Format,Samplenote,Record Number,Accessed Date,Source Url,Preferred Citation
112-1312,PS1954,SRM 1947,,,,,,,,,,,1.026,wet,0,95.091965907556,0,0,4.90803409244391,105.498422198787,6.5,1.2,NR,< 0.35,53,70,14,< 0.35,12,9.3,23,130,< 0.36,84,4.9,< 0.36,0.62,2.4,16,9.5,0.57,20,27,40,73,60,32,3.3,32,36,76,97,59,95,120,39,220,79,20,240,15,15,35,9.6,24,95,25,69,1.4,16,5.2,22,0.82,7.5,3.6,2.1,3.5,3.5,18,62,880,78,310,1000,1.2,1700,2.5,82,6.5,2.5,< 0.84,26,25,< 0.84,< 0.84,3.9,6.9,< 0.85,< 0.85,< 0.85,< 0.85,150,,Row 28 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1313,PS1954,Method Blank,,,,,,,,,,,2.0213,wet,0,0,0,0,0,106.328389559083,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.037,< 0.15,< 0.15,< 0.11,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.037,< 0.15,< 0.074,< 0.15,< 0.15,0.037,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.22,< 0.037,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.11,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.14,< 0.15,< 0.15,< 0.14,< LOQ,< LOQ,< LOQ,0.037,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.34,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< LOQ,,Row 29 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1316,PS1955,Tissue - whole body,,Northern anchovy,128,24.3,,Destruction Island,47.6745219,-124.4854773,Load 33 #2,2005-07-13 00:00:00,2.044,wet,0,56.8474061591847,17.7693167291624,3.58285683437012,21.8004202772827,111.718321667971,0.4,0.61,0.58,< 0.14,0.28,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,0.37,< 0.14,< 0.14,< 0.14,< 0.14,0.035,< 0.14,< 0.14,< 0.10,< 0.14,< 0.14,< 0.14,0.2,< 0.14,< 0.14,< 0.14,< 0.034,0.15,0.24,0.22,0.46,0.14,0.33,0.36,< 0.14,0.68,0.46,< 0.14,0.98,< 0.035,< 0.14,< 0.14,< 0.14,< 0.14,0.31,< 0.14,0.27,< 0.14,< 0.14,< 0.14,0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,0.76,5.7,0.28,0.65,6.7,1.2,5,< 0.31,0.64,< 0.31,< 0.31,< 0.30,< 0.30,0.33,< 0.30,< 0.30,< 0.30,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,0.97,,Row 30 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1317,PS1955,Tissue - whole body,,Northern anchovy,123,20.6,,Protection Island,48.1278714,-122.9262842,Load 38 #1,2005-07-20 00:00:00,2.019,wet,0,61.1204813810411,15.1859810333991,3.08738338768732,20.6061541978723,108.701389922594,0.72,0.93,0.77,< 0.18,0.27,< 0.18,< 0.18,< 0.18,< 0.18,< 0.18,< 0.18,0.25,< 0.18,0.38,< 0.18,< 0.18,0.052,< 0.18,< 0.18,< 0.13,< 0.18,< 0.18,< 0.18,0.19,< 0.18,< 0.18,< 0.18,< 0.044,< 0.18,0.17,< 0.18,0.29,0.11,0.26,0.25,< 0.18,0.46,0.3,< 0.18,0.61,< 0.045,< 0.18,< 0.18,< 0.18,< 0.18,0.19,< 0.18,< 0.18,< 0.18,< 0.18,< 0.18,< 0.13,< 0.18,< 0.18,< 0.18,< 0.18,< 0.18,< 0.18,< 0.17,0.52,3,< 0.17,0.53,3.6,1.7,2.9,< 0.39,0.41,< 0.39,< 0.39,< 0.39,< 0.39,< 0.39,< 0.39,< 0.39,< 0.39,< 0.39,< 0.39,< 0.39,< 0.40,< 0.40,0.41,,Row 31 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1318,PS1955,Tissue - whole body,,Northern anchovy,134,22.5,,Protection Island,48.1278714,-122.9262842,Load 54 #1,2005-07-20 00:00:00,2.023,wet,0,79.4134207239281,4.17966941758114,1.85478380323073,14.5521260552599,110.565464412664,0.67,0.92,0.77,0.13,0.34,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,0.36,< 0.13,0.36,< 0.13,< 0.13,0.056,0.13,0.15,0.12,< 0.13,< 0.13,0.13,0.22,< 0.13,< 0.13,< 0.13,< 0.032,0.15,0.23,0.17,0.37,0.12,0.29,0.3,< 0.13,0.51,0.33,< 0.13,0.69,< 0.033,< 0.13,< 0.13,< 0.13,< 0.13,0.22,< 0.13,0.18,< 0.13,< 0.13,< 0.13,< 0.098,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,0.82,3.9,0.21,0.7,4.9,1.8,4.4,< 0.29,0.63,< 0.29,< 0.29,< 0.29,0.51,0.3,< 0.29,< 0.29,< 0.29,< 0.29,< 0.29,< 0.29,< 0.29,< 0.29,1.4,,Row 32 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1295,PS1953,Method Blank,,,,,,,,,,,2.0215,wet,0,0,0,0,0,100.023430807149,< 0.16,< 0.17,< 0.17,< 0.16,< 0.16,< 0.17,< 0.17,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.041,< 0.16,< 0.16,0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.041,< 0.16,< 0.082,< 0.16,< 0.16,0.053,< 0.16,< 0.16,< 0.17,< 0.17,< 0.16,< 0.17,< 0.25,< 0.041,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.17,< 0.12,< 0.16,< 0.17,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< LOQ,< LOQ,< LOQ,0.21,< 0.39,< 0.39,< 0.39,< 0.39,< 0.39,< 0.39,< 0.39,< 0.39,< 0.39,< 0.39,< 0.39,< 0.39,< 0.39,< 0.39,< 0.39,< LOQ,,Row 33 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1298,PS1954,Tissue - whole body,,Surf smelt,120,18.7,,Strawberry Point,48.32056,-122.51254,Tow #90,2005-07-14 00:00:00,2.042,wet,10.5726074042339,13.2254698255731,45.9832613390812,18.2890203055698,11.9296411255418,104.456824945083,< 0.18,< 0.19,< 0.19,< 0.18,< 0.18,< 0.19,< 0.19,< 0.18,< 0.18,< 0.18,< 0.18,< 0.18,< 0.18,< 0.18,< 0.19,< 0.18,< 0.046,< 0.18,< 0.19,0.14,< 0.18,< 0.18,< 0.18,0.21,< 0.18,< 0.18,< 0.19,< 0.046,0.21,0.3,0.51,0.46,0.19,0.25,0.55,0.2,1.6,0.51,0.24,1.9,< 0.047,< 0.18,< 0.18,< 0.19,< 0.19,0.33,< 0.18,0.44,< 0.19,< 0.19,< 0.19,< 0.14,< 0.19,< 0.19,< 0.19,< 0.19,< 0.18,< 0.18,< 0.18,< 0.19,1.8,0.24,< LOQ,2,< LOQ,8.1,< 0.44,2,< 0.44,< 0.44,< 0.44,< 0.44,0.49,< 0.44,< 0.44,< 0.43,< 0.44,< 0.44,< 0.44,< 0.44,< 0.44,2.5,,Row 34 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1299,PS1954,Tissue - whole body,,Surf smelt,117,15.5,,Strawberry Point,48.32056,-122.51254,Tow #90,2005-07-14 00:00:00,2,wet,0,69.4131215025644,14.6306777384075,4.03347025709449,11.9227305019335,109.239529766796,0.42,0.33,0.26,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,0.17,< 0.15,0.24,< 0.15,< 0.15,0.055,< 0.15,< 0.15,0.18,< 0.15,< 0.15,< 0.15,0.2,< 0.15,0.16,< 0.15,0.04,< 0.15,0.2,0.21,0.33,0.12,0.31,0.3,< 0.15,0.57,0.28,< 0.15,0.64,< 0.038,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.11,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,0.92,2.9,1.2,0.17,5,0.59,3.6,< 0.36,0.67,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,< 0.35,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,0.67,,Row 35 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1300,PS1954,Tissue - whole body,,Surf smelt,123,17.5,,Strawberry Point,48.32056,-122.51254,Tow #90,2005-07-14 00:00:00,2.03,wet,1.16516815760686,28.0628072228043,37.799436772378,16.5994775075597,16.3731103396509,107.21014976271,0.18,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,0.14,< 0.12,< 0.12,< 0.12,< 0.12,0.038,< 0.12,< 0.12,0.13,< 0.12,< 0.12,0.16,0.24,< 0.12,0.17,< 0.12,0.048,0.21,0.37,0.42,0.62,0.15,0.54,0.47,0.15,1.3,0.58,0.2,1.5,< 0.030,< 0.12,< 0.12,< 0.12,< 0.12,0.24,0.13,0.34,< 0.12,< 0.12,< 0.12,< 0.090,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,0.18,1.5,0.21,0.14,1.9,< LOQ,8.1,< 0.28,1.5,< 0.28,< 0.28,< 0.28,< 0.28,0.33,< 0.28,< 0.28,< 0.28,< 0.28,< 0.28,< 0.28,< 0.29,< 0.29,1.9,,Row 36 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1301,PS1954,Tissue - whole body,,Surf smelt,128,21.8,,Strawberry Point,48.32056,-122.51254,Tow #90,2005-07-14 00:00:00,2.007,wet,0,68.3900791034855,18.6232560572586,3.71307002972847,9.27359480952732,105.855629652588,0.24,0.26,0.18,< 0.16,< 0.16,< 0.16,< 0.17,< 0.16,< 0.16,< 0.16,< 0.16,0.17,< 0.16,0.19,< 0.16,< 0.16,0.045,< 0.16,< 0.16,0.16,< 0.16,< 0.16,0.18,0.27,< 0.16,0.18,< 0.16,0.05,0.2,0.33,0.37,0.55,0.16,0.49,0.43,< 0.16,1,0.47,< 0.16,1.2,< 0.041,< 0.16,< 0.16,< 0.16,< 0.16,0.19,< 0.16,0.25,< 0.16,< 0.16,< 0.16,< 0.12,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,0.24,1.4,0.22,0.17,1.9,0.43,6.6,< 0.38,1.7,< 0.38,< 0.38,< 0.38,< 0.38,< 0.38,< 0.38,< 0.38,< 0.38,< 0.38,< 0.38,< 0.38,< 0.38,< 0.38,1.7,,Row 37 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1302,PS1954,Tissue - whole body,,Chum salmon,102,11,Yes,Skagit Bay,48.3521,-122.5585,Tow #97,2005-07-14 00:00:00,2.031,wet,0,2.90166695607819,30.7724819770143,34.2663979653592,32.0594531015481,109.322642716941,< 0.14,< 0.15,< 0.15,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.035,< 0.14,< 0.14,< 0.11,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.035,< 0.14,0.14,0.2,0.3,0.1,0.23,0.29,< 0.14,0.74,0.32,< 0.14,0.84,< 0.036,< 0.14,< 0.14,< 0.14,< 0.14,0.25,< 0.14,0.2,< 0.14,< 0.14,< 0.14,< 0.11,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,0.72,< 0.14,< LOQ,0.72,< LOQ,3.7,< 0.33,0.49,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,0.49,,Row 38 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1303,PS1954,Tissue - whole body,,Pacific sandlance,110,6,,Skagit Bay,48.35215,-122.55857,Tow #62,2005-07-14 00:00:00,2.007,wet,.27467886927119,70.0467102936552,11.7113052036755,4.88033494965375,13.0869706837442,106.071780743265,0.44,0.38,0.36,< 0.15,< 0.15,< 0.16,< 0.16,< 0.15,< 0.15,< 0.15,< 0.15,0.34,< 0.15,0.31,< 0.15,< 0.15,0.06,< 0.15,0.16,0.19,< 0.15,0.19,0.24,0.37,< 0.15,0.22,< 0.15,0.076,0.3,0.65,0.63,1.1,0.25,0.8,0.66,0.21,1.8,1.1,0.31,2.4,< 0.038,< 0.15,0.16,< 0.15,0.16,0.37,0.18,0.5,< 0.15,< 0.15,< 0.15,< 0.12,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,0.22,2.7,0.17,0.34,3.1,0.74,13,< 0.36,2.5,< 0.36,< 0.36,< 0.36,< 0.36,0.46,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,3,,Row 39 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1304,PS1954,Tissue - whole body,,Pacific sandlance,100,4.9,,Skagit Bay,48.35215,-122.55857,Tow #62,2005-07-14 00:00:00,2.048,wet,0,60.962968522027,10.4731898310074,4.35166646097522,24.2121751859903,107.812391711179,0.42,0.56,0.25,< 0.14,0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,0.25,< 0.14,0.35,< 0.14,< 0.14,0.049,< 0.14,0.15,0.16,< 0.14,0.17,0.22,0.35,< 0.14,0.2,< 0.14,0.057,0.23,0.5,0.46,0.79,0.17,0.62,0.47,0.15,1.3,0.74,0.22,1.6,< 0.036,< 0.14,< 0.14,< 0.14,< 0.14,0.26,< 0.14,0.34,< 0.14,< 0.14,< 0.14,< 0.11,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,0.25,1.7,0.26,0.4,2.2,0.81,9.3,< 0.33,1.9,< 0.33,< 0.33,< 0.33,< 0.33,0.38,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.34,< 0.34,2.3,,Row 40 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1305,PS1954,Tissue - whole body,,Pacific sandlance,107,5.9,,Skagit Bay,48.35215,-122.55857,Tow #62,2005-07-14 00:00:00,2.001,wet,0,66.2151236737399,16.554209630841,4.40044843334359,12.8302182620754,104.195269118999,0.37,0.44,0.28,< 0.12,0.14,0.13,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,0.28,< 0.12,0.25,< 0.12,< 0.12,0.061,0.14,0.2,0.2,< 0.12,0.2,0.28,0.43,0.16,0.24,< 0.12,0.084,0.3,0.69,0.6,1.1,0.21,0.78,0.6,0.19,1.6,0.98,0.28,2.1,< 0.029,< 0.12,0.13,< 0.12,0.14,0.31,0.16,0.44,< 0.12,< 0.12,< 0.12,< 0.088,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,0.26,2.1,0.27,0.54,2.7,0.72,13,< 0.28,2,0.3,< 0.28,< 0.28,< 0.28,0.34,< 0.28,< 0.28,< 0.27,< 0.28,< 0.28,< 0.28,< 0.28,< 0.28,2.6,,Row 41 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1306,PS1954,Tissue - whole body,,Pacific sandlance,104,4.9,,Skagit Bay,48.35215,-122.55857,Tow #62,2005-07-14 00:00:00,2.022,wet,0,64.4587600752683,15.8145056416931,4.0767674136487,15.6499668693898,104.905111851995,0.4,0.43,0.31,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,0.25,< 0.17,0.37,< 0.17,< 0.17,0.053,< 0.17,0.18,0.18,< 0.17,< 0.17,0.22,0.35,< 0.17,0.21,< 0.17,0.057,0.23,0.44,0.41,0.7,0.16,0.57,0.46,< 0.17,1.1,0.59,0.18,1.3,< 0.043,< 0.17,< 0.17,< 0.17,< 0.17,0.19,< 0.17,0.25,< 0.17,< 0.17,< 0.17,< 0.13,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,0.22,1.5,0.24,0.25,2,0.74,7.8,< 0.40,2.5,< 0.40,< 0.40,< 0.40,< 0.40,0.46,< 0.40,< 0.40,< 0.40,< 0.40,< 0.40,< 0.40,< 0.41,< 0.41,3,,Row 42 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1233,PS1883,Tissue - whole body,,Chinook salmon,112,15.6,No check,Protection Island,48.1278714,-122.9262842,Load 49 #1,2003-07-01 00:00:00,2.005,wet,2.56488680662675,0,66.712988707914,18.6079361234264,12.1141883620327,102.780796177211,< 0.12,< 0.13,< 0.12,< 0.12,0.13,0.28,< 0.12,< 0.12,< 0.12,< 0.12,0.13,0.74,< 0.12,< 0.12,< 0.12,< 0.12,0.076,0.17,0.26,0.22,0.18,0.23,0.26,0.45,0.51,0.45,0.27,0.048,0.39,0.72,0.82,1.4,0.65,1.4,1.5,0.38,2.9,1.4,0.42,3.7,0.18,0.23,0.4,0.12,0.32,1.2,0.28,0.96,< 0.12,< 0.12,< 0.12,0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,0.32,3.9,28,1.3,1.3,34,< LOQ,23,< 0.27,5.9,< 0.27,< 0.27,< 0.27,6.4,2.5,< 0.27,< 0.27,0.57,0.29,< 0.27,< 0.27,< 0.27,< 0.27,16,,Row 43 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1234,PS1883,Tissue - whole body,,Chinook salmon,116,19.1,No check,Protection Island,48.1278714,-122.9262842,Load 51 #1,2003-07-01 00:00:00,2.007,wet,18.2497795942923,3.12143565496968,54.8265477685704,11.3724877320652,12.4297492501021,102.483687751791,< 0.15,< 0.16,< 0.16,< 0.15,< 0.15,0.25,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,0.62,< 0.15,< 0.15,< 0.15,< 0.15,0.082,0.17,0.25,0.22,0.17,0.25,0.27,0.48,0.48,0.52,0.27,0.076,0.58,0.9,1,1.6,0.86,1.9,2,0.49,3.2,1.5,0.4,3.7,0.26,0.3,0.34,< 0.15,0.25,0.96,0.23,0.67,< 0.15,< 0.15,< 0.15,< 0.11,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,0.39,3.6,22,1.4,0.87,27,< LOQ,25,< 0.34,5.4,< 0.34,< 0.34,< 0.34,6,2,< 0.34,< 0.34,0.46,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,14,,Row 44 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
